Filename	Discipline	Disc_short	ch1	Journal	Year	Article Title	Author(s)
corpus/cs_cvpr_2017_1.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2017	Learning Features by Watching Objects Move	"Deepak Pathak, Ross Girshick, Piotr Dollár, Trevor Darrell, Bharath Hariharan"
corpus/cs_cvpr_2017_2.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2017	Adaptive and Move Making Auxiliary Cuts for Binary Pairwise Energies	"Lena Gorelick, Yuri Boykov, Olga Veksler"
corpus/cs_cvpr_2017_3.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2017	Fast Multi-frame Stereo Scene Flow with Motion Segmentation	"Tatsunori Taniai, Sudipta N. Sinha, Yoichi Sato"
corpus/cs_cvpr_2017_4.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2017	Deep TEN: Texture Encoding Network	"Hang Zhang, Jia Xue, Kristin Dana"
corpus/cs_cvpr_2017_5.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2017	Person Re-identification in the Wild	"Liang Zheng, Hengheng Zhang, Shaoyan Sun, Manmohan Chandraker, Yi Yang, Qi Tian"
corpus/cs_cvpr_2016_1.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2016	Group MAD Competition? A New Methodology to Compare Objective Image Quality Models	"Kede Ma, Qingbo Wu, Zhou Wang, Zhengfang Duanmu, Hongwei Yong, Hongliang Li, Lei Zhang"
corpus/cs_cvpr_2016_2.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2016	Ask Me Anything: Free-Form Visual Question Answering Based on Knowledge from External Sources	"Qi Wu, Peng Wang, Chunhua Shen, Anthony Dick, Anton van den Hengel"
corpus/cs_cvpr_2016_3.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2016	Online Detection and Classification of Dynamic Hand Gestures with Recurrent 3D Convolutional Neural Networks	"Pavlo Molchanov, Xiaodong Yang, Shalini Gupta, Kihwan Kim, Stephen Tyree, Jan Kautz"
corpus/cs_cvpr_2016_4.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2016	Convolutional Networks for Shape from Light Field	"Stefan Heber, Thomas Pock"
corpus/cs_cvpr_2016_5.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2016	Coherent Parametric Contours for Interactive Video Object Segmentation	"Yao Lu, Xue Bai, Linda Shapiro, Jue Wang"
corpus/cs_cvpr_2015_1.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2015	Mapping visual features to semantic profiles for retrieval in medical imaging	"Johannes Hofmanninger, Georg Langs"
corpus/cs_cvpr_2015_2.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2015	"Low-level vision by consensus in a spatial hierarchy of regions
"	"Ayan Chakrabarti, Ying Xiong, Steven J. Gortler, Todd Zickler"
corpus/cs_cvpr_2015_3.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2015	A graphical model approach for matching partial signatures	"Xianzhi Du, David Doermann, Wael AbdAlmageed"
corpus/cs_cvpr_2015_4.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2015	Filtered channel features for pedestrian detection	"Shanshan Zhang, Rodrigo Benenson, Bernt Schiele"
corpus/cs_cvpr_2015_5.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2015	"Joint inference of groups, events and human roles in aerial videos"	"Tianmin Shu, Dan Xie, Brandon Rothrock, Sinisa Todorovic, Song-Chun Zhu"
corpus/cs_cvpr_2014_1.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2014	Turning Mobile Phones into 3D Scanners	"Kalin Kolev, Petri Tanskanen, Pablo Speciale, Marc Pollefeys"
corpus/cs_cvpr_2014_2.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2014	2D Human Pose Estimation: New Benchmark and State of the Art Analysis	"Mykhaylo Andriluka, Leonid Pishchulin, Peter Gehler, Bernt Schiele"
corpus/cs_cvpr_2014_3.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2014	Latent Dictionary Learning for Sparse Representation Based Classification	"Meng Yang, Dengxin Dai, Linlin Shen  Luc Van Gool"
corpus/cs_cvpr_2014_4.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2014	A Compositional Model for Low-Dimensional Image Set Representation	"Hossein Mobahi, Ce Liu, William T. Freeman"
corpus/cs_cvpr_2014_5.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2014	Nonparametric Part Transfer for Fine-Grained Recognition	"Christoph Göering, Erik Rodner, Alexander Freytag, Joachim Denzler"
corpus/cs_cvpr_2013_1.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2013	Tracking Sports Players with Context-Conditioned Motion Models	"Jingchen Liu, Peter Carr, Robert T. Collins, Yanxi Liu"
corpus/cs_cvpr_2013_2.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2013	SWIGS: A Swift Guided Sampling Method	"Victor Fragoso, Matthew Turk"
corpus/cs_cvpr_2013_3.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2013	Is There a Procedural Logic to Architecture?	"Julien Weissenberg, Hayko Riemenschneider, Mukta Prasad, Luc Van Gool"
corpus/cs_cvpr_2013_4.txt	Computer Science	cs	sciences	IEEE/CVF Conference on Computer Vision and Pattern Recognition	2013	Uncalibrated Photometric Stereo for Unknown Isotropic Reflectances	"Feng Lu, Yasuyuki Matsushita, Imari Sato, Takahiro Okabe, Yoichi Sato"
